title,link,artist
Leprosy Capital (Diptych),https://collections.ed.ac.uk/record/21444?highlight=*:*,Paul J Donaldson
Unknown (1955),https://collections.ed.ac.uk/record/50603?highlight=*:*,Alejandro B. Brasó
Swedish coffee pot cover,https://collections.ed.ac.uk/record/102687?highlight=*:*,Unknown
Untitled (1980),https://collections.ed.ac.uk/record/99823?highlight=*:*,Unknown
Standing Male Nude with Staff (1960),https://collections.ed.ac.uk/record/20815?highlight=*:*,Derek Shiel
Standing Nude Woman (1964),https://collections.ed.ac.uk/record/122755?highlight=*:*,William M. McG. Gillon
Unknown (1960),https://collections.ed.ac.uk/record/50596?highlight=*:*,Alan M. Alexander
Norwegian Ponies (1953),https://collections.ed.ac.uk/record/99218?highlight=*:*,Mollie E N Langlands
Interior of Glasshouse at Botanical Gardens (1982),https://collections.ed.ac.uk/record/99332?highlight=*:*,Rena R. Simpson II
Untitled (Unknown),https://collections.ed.ac.uk/record/21574?highlight=*:*,Dilys R. Lovell
Composition with Stripes and Full Moon (Circa 1973),https://collections.ed.ac.uk/record/20759?highlight=*:*,Peter Bewsey
Portrait of a Man (1959),https://collections.ed.ac.uk/record/20913?highlight=*:*,C Byron
Architectural Interior (1980s),https://collections.ed.ac.uk/record/21430?highlight=*:*,Kathleen A. Binns
"Commercial Street, Leith (1950)",https://collections.ed.ac.uk/record/21828?highlight=*:*,John W. Corner
Unknown (1960),https://collections.ed.ac.uk/record/53570?highlight=*:*,Hugh Deans
Frieze from the Temple of Athena Nike (left slab) (1827),https://collections.ed.ac.uk/record/20625?highlight=*:*,NA
Life Painting (Circa 1952),https://collections.ed.ac.uk/record/20737?highlight=*:*,David Michie
Untitled (1966),https://collections.ed.ac.uk/record/99834?highlight=*:*,Molly Harris
Untitled (Unknown),https://collections.ed.ac.uk/record/21781?highlight=*:*,Nicholas File
Untitled - Abstract Blue and Green Squares (1994),https://collections.ed.ac.uk/record/99461?highlight=*:*,Roger Elliot
Woman at a Table (1959),https://collections.ed.ac.uk/record/122848?highlight=*:*,Alan M. Alexander
John Stone (1950),https://collections.ed.ac.uk/record/22666?highlight=*:*,David McClure
Theatre (Unknown),https://collections.ed.ac.uk/record/21749?highlight=*:*,Rob McLaurin
